Channel Name,Category,URL,Increase,Avg,Difference,Time
iwdominate, LOL,https://clips.twitch.tv/HardDignifiedScallionKreygasm-1vw3W-63BxoGdWQ9/edit,555,282.98,1.96,2022-04-17 01:51:39.251362
asmongold, WOW,https://clips.twitch.tv/LachrymoseKathishSalamanderGivePLZ-7tPPcbT0_2PkPenw/edit,719,362.34,1.98,2022-04-17 01:55:52.716297
payo, WOW,https://clips.twitch.tv/ArbitraryHonestGoatDancingBanana-DIpuKIKNd5-qSQZL/edit,75,36.58,2.05,2022-04-17 01:56:29.533957
imaqtpie, LOL,https://clips.twitch.tv/PlausiblePrettiestAlpacaBlargNaut-tBT3jEOxOquSDHKh/edit,68,35.62,1.91,2022-04-17 02:00:38.073110
imaqtpie, LOL,https://clips.twitch.tv/CourageousIntelligentKumquatDansGame-sAUdCiDy1mjklNpJ/edit,139,57.65,2.41,2022-04-17 02:04:04.465048
trihex, META,https://clips.twitch.tv/PiliableSpikyKiwiBabyRage-bQ6I4Qy22fA_cxgO/edit,50,26.29,1.9,2022-04-17 02:07:53.787740
jessecox, META,https://clips.twitch.tv/ColdbloodedPunchyGuanacoTakeNRG-SY6iPfGFvCDTzf45/edit,60,30.83,1.95,2022-04-17 02:09:59.321481
trihex, META,https://clips.twitch.tv/PoisedZanyEyeballANELE-hnUYs-dISW7HzhGm/edit,67,33.32,2.01,2022-04-17 02:11:25.848675
imaqtpie, LOL,https://clips.twitch.tv/AlertLazyFlyShadyLulu-e0RM2SZT-o-bOvBa/edit,182,95.57,1.9,2022-04-17 02:12:47.600139
melina, META,https://clips.twitch.tv/MotionlessSingleSheepJKanStyle-g3BZWssQw6IXEIAR/edit,69,36.3,1.9,2022-04-17 02:28:29.866985
melina, POLITICS,https://clips.twitch.tv/SuspiciousYummyMochaItsBoshyTime-wIxqyF3hG9rMHMxA/edit,73,36.26,2.01,2022-04-17 02:28:38.532736
trihex, META,https://clips.twitch.tv/AmazingAliveArtichokeTBCheesePull-0m0bGxpCQFrS_mJp/edit,40,20.87,1.92,2022-04-17 02:34:03.787836
